country,latitude,longitude,gdp
"Sierra Leone",8.460555,-11.779889,3941474311
Eswatini,-26.522503,31.465866,3791304348
Djibouti,11.825138,42.590275,3318716359
Andorra,42.506285,1.521801,3154057987
Liberia,6.428055,-9.429499,3070518100
Burundi,-3.373056,29.918886,3012334882
Lesotho,-29.609988,28.233608,2460072444
Bhutan,27.514162,90.433601,2446674101
"Central African Republic",6.611111,20.939444,2220307369
"Saint Lucia",13.909444,-60.978893,2122450630
Eritrea,15.179384,39.782334,2065001626
"Cape Verde",16.5388,-23.0418,1981845741
Belize,17.189877,-88.49765,1879613600
"The Gambia",13.443182,-15.310139,1763819048
"Antigua and Barbuda",17.060816,-61.796428,1727759259
Seychelles,-4.679574,55.491977,1698843063
"East Timor",-8.874217,125.727539,1673540300
"San Marino",43.94236,12.457777,1637931034
"Solomon Islands",-9.64571,160.156194,1425074226
Guinea-Bissau,11.803749,-15.180413,1340389411
Grenada,12.1165,-61.679,1228170370
Comoros,-11.6455,43.3333,1185728677
"Saint Kitts and Nevis",17.357822,-62.782998,1050992593
Vanuatu,-15.376706,166.959158,917058851
Samoa,-13.759029,-172.104629,850655017
"Saint Vincent and the Grenadines",12.984305,-61.287228,825385185
Dominica,15.414999,-61.370976,596033333
Tonga,-21.178986,-175.198242,450353314
"Federated States of Micronesia",7.425554,150.550812,401932279
Palau,7.51498,134.58252,283994900
"Marshall Islands",7.131474,171.184478,221278000
Kiribati,1.8368976,-157.3768317,194647202
Nauru,-0.522778,166.931503,133000000
Tuvalu,-7.109535,177.64933,47271463
